time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2011-04-01,1387.4571070332681,0.0,491.1008729709763,45921.40450879416,408511.6544230808,11370.515746972129,2011,467682.13265885133
2012-04-01,17362.651678803468,0.0,725.595489638862,22151.77136781363,319345.13625012094,108096.97787247444,2012,467682.13265885133
2013-04-01,15469.749495012096,0.0,1694.6388754119575,80635.37305485172,337273.71989695297,32608.65133662254,2013,467682.1326588513
2014-04-01,13729.860264785504,0.0,970.7516536140223,70347.18423675728,298836.85302346735,83797.48348022717,2014,467682.13265885133
2015-04-01,20685.585765160526,0.0,168.56120743662265,35897.64385166038,299821.94610258256,111108.39573201127,2015,467682.13265885133
2016-04-01,34619.14343849198,166.94359661368938,10136.411892897442,116862.6881018417,288010.06912922516,17886.87649978137,2016,467682.13265885133
2017-04-01,2798.4991980428204,0.0,397.76652770862387,61793.09299462122,374156.5544144999,28536.21952397871,2017,467682.1326588513
2018-04-01,18450.275853948093,0.0,940.2563025239054,102923.82591434637,334455.2556903298,10912.518897703183,2018,467682.1326588514
2019-04-01,5828.587904347445,0.0,2438.659261614361,90981.79117129279,317214.64720691484,51218.4471146819,2019,467682.13265885133
2020-04-01,1382.7313670863525,0.0,0.0,42537.02209048406,375390.71689158754,48371.66230969334,2020,467682.1326588513
2021-04-01,1387.4571070332681,0.0,162.07863817864344,45005.98016253926,394633.8019242926,26492.814826807575,2021,467682.13265885133
2022-04-01,3158.496309526645,0.0,494.33404075172484,89183.21002718661,348592.6854090294,26253.406872356925,2022,467682.13265885133
2023-04-01,0.0,0.0,176.6180602539059,19840.048933837526,386091.7755410715,61573.69012368841,2023,467682.13265885133
