time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2023-10-18,478445.53338745737,8080.23023007906,1690.4650224974885,0.0,0.0,0.0
2023-10-19,475039.6734134414,11062.170056329702,2114.3851702628754,0.0,0.0,0.0
2023-10-20,471109.53817112785,13492.10200136587,3614.588467540226,0.0,0.0,0.0
2023-10-21,469540.8333864915,18243.118279606406,432.2769739360101,0.0,0.0,0.0
2023-10-22,468568.09817175916,16743.50939480676,2904.6210734679908,0.0,0.0,0.0
2023-10-23,468061.2521960491,18449.74595559445,1705.2304883904003,0.0,0.0,0.0
2023-10-24,468896.81352815893,18256.840278203897,1062.5748336710703,0.0,0.0,0.0
2023-10-25,469391.72833044716,16577.145151950666,2247.3551576360655,0.0,0.0,0.0
2023-10-26,470338.96216313966,16173.697717446532,1142.848056793309,560.7207026544286,0.0,0.0
2023-10-27,464038.4143287856,23120.38512007427,1057.429191174,0.0,0.0,0.0
2023-10-28,447536.99332506966,37236.216710148205,3299.74893572306,143.26966909296453,0.0,0.0
2023-10-29,415894.3048508647,67866.00496581284,4170.614668038137,285.304155318256,0.0,0.0
2023-10-30,377074.5256508393,104632.66331842318,5612.165866925373,896.8738038460612,0.0,0.0
2023-10-31,342723.7321746483,135143.3745150502,8355.988924594172,1873.4034304526622,119.72959528858314,0.0
2023-11-01,322636.2617446019,154003.32095397887,9547.283879295246,1909.632466869328,119.72959528858314,0.0
2023-11-02,308383.620794142,161648.25208126224,16098.059992411538,2086.2957722181695,0.0,0.0
2023-11-03,299624.7468598767,161869.59393241198,26012.922461851784,708.9653858934769,0.0,0.0
2023-11-04,294138.5306629088,175651.28240174093,18426.415575384162,0.0,0.0,0.0
2023-11-05,275148.52002264024,184371.7499180436,27707.2630324564,988.6956668936102,0.0,0.0
2023-11-06,257044.04060241376,207796.77298191912,23375.415055701036,0.0,0.0,0.0
2023-11-07,243089.44620863302,217354.348222067,27772.434209333915,0.0,0.0,0.0
2023-11-08,218881.07038823795,234565.50569552585,34769.65255627014,0.0,0.0,0.0
2023-11-09,184054.95507396496,256128.27434276673,48032.9992233022,0.0,0.0,0.0
2023-11-10,168605.20993319675,246202.84535899328,73408.17334784388,0.0,0.0,0.0
2023-11-11,166129.86156698788,212225.95699699596,109860.41007605009,0.0,0.0,0.0
2023-11-12,165436.0215982917,201868.31939430383,120911.88764743836,0.0,0.0,0.0
2023-11-13,159005.19203483663,189276.34562259354,137849.22105541307,2085.4699271906047,0.0,0.0
2023-11-14,140082.20178762358,194078.39413899503,153601.40518811424,454.2275253010888,0.0,0.0
2023-11-15,129594.5538924994,191574.69963405514,166774.12567985582,272.849433623579,0.0,0.0
2023-11-16,122720.60266019935,198439.83669571736,166778.0490232127,277.74026090451775,0.0,0.0
2023-11-17,120731.996615282,188953.67470701915,178412.0494996393,118.50781809342561,0.0,0.0
2023-11-18,119482.32712836991,182585.5212581816,186148.3802534824,0.0,0.0,0.0
2023-11-19,117312.6386500298,172926.71277461582,197818.25541989016,158.6217954981166,0.0,0.0
2023-11-20,117960.97693195421,172685.84366417068,197569.40804390903,0.0,0.0,0.0
2023-11-21,119014.40502239339,162225.88050993782,206975.94310770268,0.0,0.0,0.0
2023-11-22,118573.93423476812,154047.35365601027,215594.9407492555,0.0,0.0,0.0
2023-11-23,119090.67405769974,147083.94152986066,221845.29803706022,196.31501541330087,0.0,0.0
2023-11-24,117190.57282527696,142932.7359704323,225628.7303072139,2464.1895371107626,0.0,0.0
2023-11-25,117338.62398036658,138307.87063520006,232005.30324908352,564.4307753837729,0.0,0.0
2023-11-26,112702.15530272247,142059.8361101842,231219.1799436285,2235.057283498703,0.0,0.0
2023-11-27,110620.55270367174,140012.3856203617,233600.11263238837,3983.177683612118,0.0,0.0
2023-11-28,107813.28925935407,145822.39483698798,231456.4449469175,3124.0995967743565,0.0,0.0
2023-11-29,102631.75714265919,156156.21078646864,224466.31785951697,4961.942851389078,0.0,0.0
2023-11-30,99468.12189981861,154485.99395270256,227440.97453319933,6821.138254313444,0.0,0.0
2023-12-01,95788.25733756804,147797.5096691691,238687.52775475214,5942.933878544643,0.0,0.0
2023-12-02,90503.89960173612,137693.57513359014,251684.7841666985,8333.96973800915,0.0,0.0
2023-12-03,85017.9385631163,135929.9663740199,257415.73322606354,9852.590476834177,0.0,0.0
2023-12-04,82939.10526491817,136618.61253813648,255644.35526179284,13014.155575186413,0.0,0.0
2023-12-05,78583.0831655915,126582.71723250755,266152.5684861414,16897.85975579347,0.0,0.0
