time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2010-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2010,581894.3546577033
2011-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2011,581894.3546577033
2012-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2012,581894.3546577033
2013-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2013,581894.3546577033
2014-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2014,581894.3546577033
2015-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2015,581894.3546577033
2016-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2016,581894.3546577033
2017-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2017,581894.3546577033
2018-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2018,581894.3546577033
2019-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2019,581894.3546577033
2020-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2020,581894.3546577033
2021-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2021,581894.3546577033
2022-10-01,581894.3546577033,0.0,0.0,0.0,0.0,0.0,2022,581894.3546577033
