time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2010-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2010,279917.7642666112
2011-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2011,279917.7642666112
2012-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2012,279917.7642666112
2013-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2013,279917.7642666112
2014-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2014,279917.7642666112
2015-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2015,279917.7642666112
2016-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2016,279917.7642666112
2017-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2017,279917.7642666112
2018-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2018,279917.7642666112
2019-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2019,279917.7642666112
2020-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2020,279917.7642666112
2021-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2021,279917.7642666112
2022-10-01,279917.7642666112,0.0,0.0,0.0,0.0,0.0,2022,279917.7642666112
