time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2010-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2010,301976.5903910921
2011-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2011,301976.5903910921
2012-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2012,301976.5903910921
2013-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2013,301976.5903910921
2014-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2014,301976.5903910921
2015-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2015,301976.5903910921
2016-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2016,301976.5903910921
2017-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2017,301976.5903910921
2018-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2018,301976.5903910921
2019-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2019,301976.5903910921
2020-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2020,301976.5903910921
2021-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2021,301976.5903910921
2022-10-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2022,301976.5903910921
