region,year,extent,n_days
AlaskanArctic,1985,461239.63572167675,365
AlaskanArctic,1986,453001.6625887076,365
AlaskanArctic,1987,413819.0386555264,365
AlaskanArctic,1988,384563.4917287887,366
AlaskanArctic,1989,449406.13104724593,365
AlaskanArctic,1990,413824.5399534103,365
AlaskanArctic,1991,428025.0062774104,365
AlaskanArctic,1992,446413.69352740457,366
AlaskanArctic,1993,425351.9492030393,365
AlaskanArctic,1994,413619.8525589868,365
AlaskanArctic,1995,444694.8746464569,365
AlaskanArctic,1996,414296.26474886865,366
AlaskanArctic,1997,418486.438529395,365
AlaskanArctic,1998,354435.15192676906,365
AlaskanArctic,1999,373002.5702182137,365
AlaskanArctic,2000,424488.6594985427,366
AlaskanArctic,2001,428304.83164257725,365
AlaskanArctic,2002,427006.63150100724,365
AlaskanArctic,2003,370561.2087526256,365
AlaskanArctic,2004,368998.98786253086,366
AlaskanArctic,2005,379186.44217137335,365
AlaskanArctic,2006,413992.5231583923,365
AlaskanArctic,2007,368078.3144920359,365
AlaskanArctic,2008,346688.6864100783,366
AlaskanArctic,2009,366526.29854183056,365
AlaskanArctic,2010,368132.76559827325,365
AlaskanArctic,2011,351235.91532227496,365
AlaskanArctic,2012,353831.7635082781,366
AlaskanArctic,2013,358025.9788864448,365
AlaskanArctic,2014,376632.9864922549,365
AlaskanArctic,2015,366376.359147206,365
AlaskanArctic,2016,344273.6004540577,366
AlaskanArctic,2017,308786.9265016672,365
AlaskanArctic,2018,332766.03247438197,365
AlaskanArctic,2019,306146.890858335,365
AlaskanArctic,2020,337827.7715407192,366
AlaskanArctic,2021,373581.4762724147,365
AlaskanArctic,2022,380964.87212313525,365
AlaskanArctic,2023,341635.2326012084,365
AlaskanArctic,2024,339456.32418117096,366
AlaskanArctic,2025,363555.1112974269,365
