region,year,extent,n_days
EasternBering,1985,187880.1726750636,365
EasternBering,1986,192246.60089740058,365
EasternBering,1987,171016.99720793535,365
EasternBering,1988,171705.0995666854,366
EasternBering,1989,165981.75286885782,365
EasternBering,1990,195639.52068767115,365
EasternBering,1991,216070.14736333964,365
EasternBering,1992,227095.13553349292,366
EasternBering,1993,184181.5767235712,365
EasternBering,1994,201295.65340942127,365
EasternBering,1995,227932.68081309297,365
EasternBering,1996,148079.4710461938,366
EasternBering,1997,198835.09688657208,365
EasternBering,1998,200292.6296114074,365
EasternBering,1999,225002.47778830398,365
EasternBering,2000,214616.88964200552,366
EasternBering,2001,106381.65776150861,365
EasternBering,2002,196937.27339865622,365
EasternBering,2003,121823.00318147338,365
EasternBering,2004,150180.22372599234,366
EasternBering,2005,138288.4018546573,365
EasternBering,2006,219489.4481265557,365
EasternBering,2007,195047.91400142378,365
EasternBering,2008,226815.91918488,366
EasternBering,2009,231055.09890917825,365
EasternBering,2010,240114.13475255028,365
EasternBering,2011,179200.22026190418,365
EasternBering,2012,272363.3133569951,366
EasternBering,2013,239321.4985991768,365
EasternBering,2014,127269.62700148825,365
EasternBering,2015,130013.68478004365,365
EasternBering,2016,110049.88190714874,366
EasternBering,2017,132171.2292326788,365
EasternBering,2018,55620.021068609516,365
EasternBering,2019,63345.60666095796,365
EasternBering,2020,145696.38015745368,366
EasternBering,2021,131332.1056074109,365
EasternBering,2022,175422.5245642504,365
EasternBering,2023,155288.03119542066,365
EasternBering,2024,157214.40596640133,366
EasternBering,2025,126149.03441764659,365
