region,year,extent,n_days
NorthernBering,1985,131754.7687793626,365
NorthernBering,1986,128480.80511122553,365
NorthernBering,1987,135373.43320256725,365
NorthernBering,1988,112319.41076919185,366
NorthernBering,1989,120338.68456291597,365
NorthernBering,1990,135066.944904111,365
NorthernBering,1991,137199.83061009136,365
NorthernBering,1992,143177.2366578956,366
NorthernBering,1993,133405.97685159865,365
NorthernBering,1994,132755.47126044458,365
NorthernBering,1995,141324.2506429053,365
NorthernBering,1996,111340.76553486277,366
NorthernBering,1997,123981.03968955748,365
NorthernBering,1998,132992.63764359898,365
NorthernBering,1999,141991.80581456388,365
NorthernBering,2000,148384.82161766454,366
NorthernBering,2001,97304.90712176004,365
NorthernBering,2002,136280.80440537285,365
NorthernBering,2003,98066.86165618921,365
NorthernBering,2004,107795.34743083698,366
NorthernBering,2005,116493.05305306143,365
NorthernBering,2006,151922.69898625845,365
NorthernBering,2007,127108.39841303143,365
NorthernBering,2008,130603.78251485979,366
NorthernBering,2009,143091.4838635753,365
NorthernBering,2010,144749.40627129874,365
NorthernBering,2011,117081.26061739467,365
NorthernBering,2012,149372.64284017333,366
NorthernBering,2013,147050.25444757976,365
NorthernBering,2014,103628.9493770129,365
NorthernBering,2015,100169.66119587513,365
NorthernBering,2016,98712.79709154795,366
NorthernBering,2017,89412.56975581005,365
NorthernBering,2018,50317.01295699755,365
NorthernBering,2019,57111.37563228104,365
NorthernBering,2020,103615.19270338956,366
NorthernBering,2021,109248.86348701648,365
NorthernBering,2022,117860.6005013764,365
NorthernBering,2023,119357.00550593578,365
NorthernBering,2024,120510.41899247306,366
NorthernBering,2025,107199.66461453983,365
