month,day,seaice_extent_mean,seaice_extent_std,month_day
1,1,509260.31,103.82,01-01
1,2,509155.53,723.72,01-02
1,3,509137.14,650.37,01-03
1,4,509207.89,413.95,01-04
1,5,509225.5,309.77,01-05
1,6,509277.86,0.0,01-06
1,7,509155.62,723.17,01-07
1,8,509102.97,934.45,01-08
1,9,509155.32,724.95,01-09
1,10,509155.5,723.9,01-10
1,11,509084.94,1036.69,01-11
1,12,509277.86,0.0,01-12
1,13,509277.86,0.0,01-13
1,14,509260.15,106.24,01-14
1,15,509260.39,104.85,01-15
1,16,509277.86,0.0,01-16
1,17,509277.86,0.0,01-17
1,18,509260.28,105.51,01-18
1,19,509277.86,0.0,01-19
1,20,509208.39,327.9,01-20
1,21,509277.86,0.0,01-21
1,22,509277.86,0.0,01-22
1,23,509277.86,0.0,01-23
1,24,509277.86,0.0,01-24
1,25,509277.86,0.0,01-25
1,26,509260.14,106.36,01-26
1,27,509277.86,0.0,01-27
1,28,509277.86,0.0,01-28
1,29,509277.86,0.0,01-29
1,30,509277.86,0.0,01-30
1,31,509260.4,104.78,01-31
2,1,509277.86,0.0,02-01
2,2,509277.86,0.0,02-02
2,3,509277.86,0.0,02-03
2,4,509260.34,105.11,02-04
2,5,509277.86,0.0,02-05
2,6,509277.86,0.0,02-06
2,7,509260.36,104.99,02-07
2,8,509277.86,0.0,02-08
2,9,509277.86,0.0,02-09
2,10,509174.34,621.11,02-10
2,11,509277.86,0.0,02-11
2,12,509277.86,0.0,02-12
2,13,509277.86,0.0,02-13
2,14,509260.09,106.63,02-14
2,15,509260.51,104.1,02-15
2,16,509260.17,106.12,02-16
2,17,509277.86,0.0,02-17
2,18,509260.36,105.03,02-18
2,19,509277.86,0.0,02-19
2,20,509260.13,106.38,02-20
2,21,509277.86,0.0,02-21
2,22,509243.1,145.36,02-22
2,23,509192.3,364.89,02-23
2,24,509192.05,420.01,02-24
2,25,509277.86,0.0,02-25
2,26,508942.78,2010.49,02-26
2,27,509207.39,422.85,02-27
2,28,509260.15,106.3,02-28
2,29,509277.86,0.0,02-29
3,1,509192.29,418.26,03-01
3,2,509209.91,407.71,03-02
3,3,509277.86,0.0,03-03
3,4,509277.86,0.0,03-04
3,5,509243.59,143.32,03-05
3,6,509277.86,0.0,03-06
3,7,509242.61,211.51,03-07
3,8,509277.86,0.0,03-08
3,9,509277.86,0.0,03-09
3,10,509277.86,0.0,03-10
3,11,509277.86,0.0,03-11
3,12,509277.86,0.0,03-12
3,13,509277.86,0.0,03-13
3,14,509277.86,0.0,03-14
3,15,509277.86,0.0,03-15
3,16,509277.86,0.0,03-16
3,17,509277.86,0.0,03-17
3,18,509277.86,0.0,03-18
3,19,509277.86,0.0,03-19
3,20,509277.86,0.0,03-20
3,21,509277.86,0.0,03-21
3,22,509260.77,102.52,03-22
3,23,509277.86,0.0,03-23
3,24,509277.86,0.0,03-24
3,25,509277.86,0.0,03-25
3,26,509277.86,0.0,03-26
3,27,509277.86,0.0,03-27
3,28,509277.86,0.0,03-28
3,29,509277.86,0.0,03-29
3,30,509277.86,0.0,03-30
3,31,509277.86,0.0,03-31
4,1,509277.86,0.0,04-01
4,2,509243.04,145.63,04-02
4,3,509120.48,744.32,04-03
4,4,509260.94,101.55,04-04
4,5,509260.94,101.55,04-05
4,6,509277.86,0.0,04-06
4,7,509277.86,0.0,04-07
4,8,509086.78,1046.95,04-08
4,9,509242.53,147.75,04-09
4,10,509277.86,0.0,04-10
4,11,509193.16,508.19,04-11
4,12,509277.86,0.0,04-12
4,13,509277.86,0.0,04-13
4,14,509260.91,101.7,04-14
4,15,509277.86,0.0,04-15
4,16,509260.18,106.09,04-16
4,17,509277.86,0.0,04-17
4,18,509225.63,175.73,04-18
4,19,509260.85,102.05,04-19
4,20,509260.85,102.05,04-20
4,21,509226.38,226.81,04-21
4,22,509226.81,225.69,04-22
4,23,509260.83,102.19,04-23
4,24,509209.75,320.38,04-24
4,25,509124.74,820.0,04-25
4,26,508971.82,1836.22,04-26
4,27,508937.06,2044.78,04-27
4,28,508678.69,2834.61,04-28
4,29,508354.26,4256.94,04-29
4,30,507954.11,6343.07,04-30
5,1,507471.68,8213.45,05-01
5,2,506893.06,11008.01,05-02
5,3,506963.56,10275.87,05-03
5,4,506805.17,9563.26,05-04
5,5,506499.26,9823.32,05-05
5,6,506378.56,9659.37,05-06
5,7,506083.82,10447.26,05-07
5,8,505345.73,12828.96,05-08
5,9,504404.5,16530.55,05-09
5,10,503876.36,17454.36,05-10
5,11,502578.65,20542.32,05-11
5,12,501058.52,22932.83,05-12
5,13,500122.18,25234.23,05-13
5,14,500059.2,25881.67,05-14
5,15,498446.96,27539.71,05-15
5,16,497943.83,27526.78,05-16
5,17,497043.91,28637.05,05-17
5,18,495413.41,29443.75,05-18
5,19,493547.76,32697.38,05-19
5,20,492188.83,34168.55,05-20
5,21,491223.56,34719.14,05-21
5,22,490599.45,35247.49,05-22
5,23,488563.79,37076.19,05-23
5,24,487295.14,38470.26,05-24
5,25,486886.24,37690.99,05-25
5,26,486083.01,38443.76,05-26
5,27,484674.98,38608.87,05-27
5,28,481661.2,40718.56,05-28
5,29,480056.54,41516.28,05-29
5,30,479215.46,44317.37,05-30
5,31,475862.89,45236.49,05-31
6,1,472113.11,48215.2,06-01
