month,day,seaice_extent_mean,seaice_extent_std,month_day
1,1,291469.44,116678.84,01-01
1,2,298727.21,119340.54,01-02
1,3,301042.28,122203.54,01-03
1,4,306359.29,124726.62,01-04
1,5,308765.11,126582.59,01-05
1,6,314642.96,128521.48,01-06
1,7,325728.41,130835.47,01-07
1,8,334678.54,134450.01,01-08
1,9,341134.03,129273.15,01-09
1,10,343527.69,130302.12,01-10
1,11,346679.31,132472.86,01-11
1,12,352109.39,130121.6,01-12
1,13,353795.18,128519.98,01-13
1,14,354836.94,121623.44,01-14
1,15,358500.18,118381.84,01-15
1,16,361663.24,116115.37,01-16
1,17,368741.42,108871.34,01-17
1,18,377457.82,108250.71,01-18
1,19,385331.04,109358.28,01-19
1,20,388887.47,108843.21,01-20
1,21,390097.84,108107.54,01-21
1,22,392208.43,106974.88,01-22
1,23,396458.37,105218.64,01-23
1,24,401975.71,105363.25,01-24
1,25,404619.38,108101.43,01-25
1,26,410770.02,112592.83,01-26
1,27,418498.06,120737.46,01-27
1,28,422662.52,124999.85,01-28
1,29,428791.41,128659.96,01-29
1,30,431737.57,131766.66,01-30
1,31,431092.04,137101.68,01-31
2,1,431886.54,139355.51,02-01
2,2,434233.38,136359.66,02-02
2,3,435579.8,134375.48,02-03
2,4,438813.2,129971.82,02-04
2,5,440440.07,130336.67,02-05
2,6,437729.72,133667.5,02-06
2,7,434728.66,138435.25,02-07
2,8,436388.77,134115.72,02-08
2,9,435449.4,133995.7,02-09
2,10,435516.2,134468.2,02-10
2,11,436463.88,131612.27,02-11
2,12,434703.71,125267.18,02-12
2,13,434748.46,127877.63,02-13
2,14,437039.48,130758.22,02-14
2,15,440196.63,130468.49,02-15
2,16,442115.6,135135.74,02-16
2,17,441625.1,139969.31,02-17
2,18,438750.01,143998.14,02-18
2,19,442402.9,142295.26,02-19
2,20,447265.74,141809.35,02-20
2,21,451112.76,144424.45,02-21
2,22,451470.44,147338.14,02-22
2,23,450751.75,149398.33,02-23
2,24,446863.28,146214.16,02-24
2,25,443877.94,145548.95,02-25
2,26,442403.84,145651.56,02-26
2,27,447251.77,145755.74,02-27
2,28,449510.97,144963.56,02-28
2,29,493009.71,135147.02,02-29
3,1,453099.49,147231.94,03-01
3,2,451647.61,149453.94,03-02
3,3,451661.64,146192.13,03-03
3,4,451500.98,144990.96,03-04
3,5,451947.62,145681.52,03-05
3,6,453056.69,144900.52,03-06
3,7,452948.32,144545.02,03-07
3,8,457567.84,148382.62,03-08
3,9,462654.88,149431.7,03-09
3,10,467605.39,145929.94,03-10
3,11,472625.01,143737.4,03-11
3,12,476678.21,143168.86,03-12
3,13,476358.42,141748.47,03-13
3,14,477929.72,140008.4,03-14
3,15,481514.67,137099.98,03-15
3,16,484597.62,135115.38,03-16
3,17,486372.89,135139.05,03-17
3,18,488463.11,137037.44,03-18
3,19,486965.39,140032.57,03-19
3,20,486870.59,140612.39,03-20
3,21,490673.44,144352.13,03-21
3,22,492490.13,143454.36,03-22
3,23,491849.04,144137.86,03-23
3,24,490639.23,148392.24,03-24
3,25,489180.89,153646.71,03-25
3,26,491441.87,155267.38,03-26
3,27,492205.07,154471.43,03-27
3,28,488754.45,158213.95,03-28
3,29,491867.65,157082.36,03-29
3,30,490383.44,156939.11,03-30
3,31,484804.96,158249.98,03-31
4,1,477189.01,160086.8,04-01
4,2,471618.49,159775.7,04-02
4,3,466051.62,159115.79,04-03
4,4,462763.97,158685.27,04-04
4,5,463570.79,152738.42,04-05
4,6,462320.12,152112.76,04-06
4,7,453256.25,158768.8,04-07
4,8,458871.87,151325.86,04-08
4,9,447643.37,151175.7,04-09
4,10,448676.57,147545.81,04-10
4,11,444926.53,147733.69,04-11
4,12,437686.51,152082.72,04-12
4,13,430077.23,152393.16,04-13
4,14,425861.39,156958.02,04-14
4,15,418051.27,161160.17,04-15
4,16,413565.8,163480.55,04-16
4,17,405031.41,164503.43,04-17
4,18,401869.46,161548.05,04-18
4,19,399929.05,159054.1,04-19
4,20,398476.22,156670.77,04-20
4,21,393354.06,152730.1,04-21
4,22,383924.18,148479.07,04-22
4,23,374662.92,146520.22,04-23
4,24,367229.67,145977.79,04-24
4,25,358031.75,145224.08,04-25
4,26,349614.68,145137.68,04-26
4,27,343635.42,146234.77,04-27
4,28,337385.67,145016.2,04-28
4,29,325120.85,140804.91,04-29
4,30,316187.55,143640.39,04-30
5,1,306519.75,143727.51,05-01
5,2,296996.29,140106.3,05-02
5,3,291642.94,140082.35,05-03
5,4,283050.86,140914.25,05-04
5,5,273955.06,143336.13,05-05
5,6,266560.03,141099.45,05-06
5,7,257771.05,142045.33,05-07
5,8,250312.84,140829.16,05-08
5,9,241265.54,143573.54,05-09
5,10,231872.17,143519.33,05-10
5,11,223450.69,140328.82,05-11
5,12,215572.55,138478.79,05-12
5,13,207355.25,135756.03,05-13
5,14,198643.98,132350.4,05-14
5,15,190892.35,129091.28,05-15
5,16,181938.65,125353.31,05-16
5,17,170964.33,122433.79,05-17
5,18,163718.19,120360.47,05-18
5,19,154199.35,116827.65,05-19
5,20,146718.03,113962.49,05-20
5,21,139461.6,111344.64,05-21
5,22,128478.99,108154.7,05-22
5,23,123067.04,102743.77,05-23
5,24,114106.36,98119.26,05-24
5,25,105545.67,95426.91,05-25
5,26,99053.26,92571.32,05-26
5,27,92347.83,87430.62,05-27
5,28,85141.69,84809.13,05-28
5,29,79413.54,79857.59,05-29
5,30,72870.37,76393.54,05-30
5,31,68577.39,71560.8,05-31
6,1,60095.26,65680.08,06-01
6,2,53918.4,60851.67,06-02
6,3,47229.64,55337.27,06-03
6,4,41305.16,49912.62,06-04
6,5,35907.17,46000.7,06-05
6,6,28970.15,38610.91,06-06
6,7,28127.06,37933.54,06-07
6,8,22634.87,34195.22,06-08
6,9,19337.7,29457.85,06-09
6,10,17179.16,27639.76,06-10
6,11,14840.01,24612.09,06-11
6,12,13421.26,23612.92,06-12
6,13,12304.62,21129.46,06-13
6,14,12259.15,20903.34,06-14
6,15,11048.09,20134.62,06-15
6,16,9870.5,16595.48,06-16
6,17,8394.76,13603.65,06-17
6,18,8265.63,12870.15,06-18
6,19,6176.06,10899.5,06-19
6,20,6862.26,10136.37,06-20
6,21,6006.78,8529.8,06-21
6,22,5721.78,7707.65,06-22
6,23,4911.15,6587.41,06-23
6,24,5127.46,8152.49,06-24
6,25,5044.85,7560.15,06-25
6,26,4925.05,6984.03,06-26
6,27,4609.06,4943.35,06-27
6,28,4558.3,5206.2,06-28
6,29,4442.44,4682.64,06-29
6,30,4127.52,4210.33,06-30
7,1,3666.04,4604.88,07-01
7,2,4185.93,4468.9,07-02
7,3,2951.22,3514.36,07-03
7,4,3252.7,4269.1,07-04
7,5,3053.24,3706.46,07-05
7,6,2904.61,2401.98,07-06
7,7,2603.36,2432.05,07-07
7,8,2587.46,1903.22,07-08
7,9,2736.4,2100.22,07-09
7,10,3303.36,2149.15,07-10
7,11,2903.03,2618.01,07-11
7,12,3003.86,2185.16,07-12
7,13,2736.57,2574.59,07-13
7,14,2387.74,2006.47,07-14
7,15,2370.41,2506.66,07-15
7,16,2688.26,2314.53,07-16
7,17,3455.75,2817.23,07-17
7,18,2688.37,2450.02,07-18
7,19,2187.37,2131.28,07-19
7,20,2471.53,2552.64,07-20
7,21,2786.82,1962.78,07-21
7,22,2386.48,1851.28,07-22
7,23,2737.1,1818.19,07-23
7,24,2552.4,2421.29,07-24
7,25,2770.48,2375.43,07-25
7,26,3052.5,2935.31,07-26
7,27,2103.32,2206.47,07-27
7,28,1769.57,2048.65,07-28
7,29,2601.97,2355.81,07-29
7,30,2369.6,2281.8,07-30
7,31,1985.8,2216.3,07-31
8,1,0.0,0.0,08-01
8,2,0.0,0.0,08-02
8,3,0.0,0.0,08-03
8,4,0.0,0.0,08-04
8,5,0.0,0.0,08-05
8,6,0.0,0.0,08-06
8,7,0.0,0.0,08-07
8,8,0.0,0.0,08-08
8,9,0.0,0.0,08-09
8,10,0.0,0.0,08-10
8,11,0.0,0.0,08-11
8,12,0.0,0.0,08-12
8,13,0.0,0.0,08-13
8,14,0.0,0.0,08-14
8,15,0.0,0.0,08-15
8,16,0.0,0.0,08-16
8,17,0.0,0.0,08-17
8,18,0.0,0.0,08-18
8,19,0.0,0.0,08-19
8,20,0.0,0.0,08-20
8,21,0.0,0.0,08-21
8,22,0.0,0.0,08-22
8,23,0.0,0.0,08-23
8,24,0.0,0.0,08-24
8,25,0.0,0.0,08-25
8,26,0.0,0.0,08-26
8,27,32.6,195.6,08-27
8,28,0.0,0.0,08-28
8,29,16.31,97.88,08-29
8,30,0.0,0.0,08-30
8,31,0.0,0.0,08-31
9,1,0.0,0.0,09-01
9,2,0.0,0.0,09-02
9,3,0.0,0.0,09-03
9,4,0.0,0.0,09-04
9,5,0.0,0.0,09-05
9,6,0.0,0.0,09-06
9,7,0.0,0.0,09-07
9,8,0.0,0.0,09-08
9,9,0.0,0.0,09-09
9,10,0.0,0.0,09-10
9,11,0.0,0.0,09-11
9,12,0.0,0.0,09-12
9,13,0.0,0.0,09-13
9,14,0.0,0.0,09-14
9,15,0.0,0.0,09-15
9,16,0.0,0.0,09-16
9,17,0.0,0.0,09-17
9,18,100.98,369.26,09-18
9,19,84.17,359.31,09-19
9,20,16.83,101.0,09-20
9,21,16.83,101.0,09-21
9,22,50.49,302.95,09-22
9,23,0.0,0.0,09-23
9,24,0.0,0.0,09-24
9,25,0.0,0.0,09-25
9,26,0.0,0.0,09-26
9,27,16.83,101.0,09-27
9,28,16.83,101.0,09-28
9,29,16.83,101.0,09-29
9,30,0.0,0.0,09-30
10,1,2190.32,2736.83,10-01
10,2,1761.46,1332.02,10-02
10,3,1565.73,1782.39,10-03
10,4,2126.73,2344.53,10-04
10,5,1611.87,1173.56,10-05
10,6,2191.58,2949.39,10-06
10,7,1970.09,2466.65,10-07
10,8,1719.97,2285.87,10-08
10,9,1729.01,1863.9,10-09
10,10,1788.04,2647.25,10-10
10,11,1921.91,2626.8,10-11
10,12,2607.88,6240.62,10-12
10,13,1963.72,3176.74,10-13
10,14,2924.13,5924.38,10-14
10,15,2136.5,3087.77,10-15
10,16,2496.41,3703.87,10-16
10,17,2369.13,4321.39,10-17
10,18,2459.57,4372.04,10-18
10,19,2450.92,3588.89,10-19
10,20,3199.31,5636.34,10-20
10,21,2933.14,5834.72,10-21
10,22,2730.59,4551.06,10-22
10,23,2794.11,4615.77,10-23
10,24,3917.41,6012.05,10-24
10,25,4379.78,6835.04,10-25
10,26,3883.28,6656.6,10-26
10,27,5321.55,8097.07,10-27
10,28,6571.59,12443.79,10-28
10,29,8558.0,15917.64,10-29
10,30,8693.66,16572.92,10-30
10,31,10042.67,16815.22,10-31
11,1,11204.06,21242.62,11-01
11,2,12073.87,23126.35,11-02
11,3,13190.01,23990.04,11-03
11,4,12796.13,24712.5,11-04
