month,day,seaice_extent_mean,seaice_extent_std,month_day
1,1,215863.24,73935.25,01-01
1,2,219455.34,74224.17,01-02
1,3,219666.83,74920.59,01-03
1,4,221065.52,74530.99,01-04
1,5,221859.16,73417.34,01-05
1,6,225238.44,73391.34,01-06
1,7,227427.79,73317.29,01-07
1,8,229613.39,73093.17,01-08
1,9,235448.49,69892.58,01-09
1,10,235931.97,69406.28,01-10
1,11,237247.31,70359.13,01-11
1,12,239851.08,69225.42,01-12
1,13,241923.97,67326.15,01-13
1,14,251905.97,50116.57,01-14
1,15,253913.95,48705.99,01-15
1,16,255879.96,48255.32,01-16
1,17,258580.68,46785.25,01-17
1,18,261777.3,46443.09,01-18
1,19,264378.88,44679.92,01-19
1,20,265976.93,42720.01,01-20
1,21,267149.06,42774.42,01-21
1,22,268924.47,40972.8,01-22
1,23,270569.11,39015.11,01-23
1,24,272860.22,36770.31,01-24
1,25,273138.73,36208.01,01-25
1,26,274797.73,35198.09,01-26
1,27,275182.33,35565.26,01-27
1,28,275540.56,36224.14,01-28
1,29,275629.78,37519.92,01-29
1,30,274677.16,39988.2,01-30
1,31,273746.76,42155.65,01-31
2,1,273538.5,43882.31,02-01
2,2,275027.28,43108.56,02-02
2,3,275851.04,43902.43,02-03
2,4,277298.75,39632.41,02-04
2,5,277710.29,38860.17,02-05
2,6,276656.57,39896.38,02-06
2,7,275739.56,44124.36,02-07
2,8,277355.13,41640.68,02-08
2,9,278020.52,43010.36,02-09
2,10,279004.91,42814.28,02-10
2,11,279449.88,42439.0,02-11
2,12,280049.11,40923.82,02-12
2,13,279488.09,42957.93,02-13
2,14,280199.12,43055.79,02-14
2,15,281206.38,41146.25,02-15
2,16,280296.75,42887.45,02-16
2,17,279454.18,46673.61,02-17
2,18,278280.85,50468.03,02-18
2,19,280173.12,47158.47,02-19
2,20,281890.1,47461.88,02-20
2,21,282151.49,50766.61,02-21
2,22,280960.45,55029.86,02-22
2,23,280416.54,54332.84,02-23
2,24,280391.69,50277.83,02-24
2,25,280861.92,47993.84,02-25
2,26,281476.53,47545.83,02-26
2,27,281591.05,50148.93,02-27
2,28,281545.38,52540.65,02-28
2,29,300927.68,9957.34,02-29
3,1,281082.27,54627.85,03-01
3,2,280290.49,54329.17,03-02
3,3,280304.53,54329.55,03-03
3,4,280019.67,56082.36,03-04
3,5,280403.42,57091.54,03-05
3,6,280939.1,57578.01,03-06
3,7,280693.95,58706.25,03-07
3,8,281294.95,57977.58,03-08
3,9,282940.21,55390.28,03-09
3,10,284591.73,50999.94,03-10
3,11,286540.46,46995.3,03-11
3,12,287882.8,43824.23,03-12
3,13,288380.15,40937.37,03-13
3,14,289804.17,37598.6,03-14
3,15,290957.77,36282.56,03-15
3,16,291710.46,33934.94,03-16
3,17,292656.4,31718.47,03-17
3,18,292031.39,30748.73,03-18
3,19,291253.93,30517.54,03-19
3,20,291380.82,29988.69,03-20
3,21,291800.2,29182.15,03-21
3,22,292768.98,28602.17,03-22
3,23,291788.92,32241.81,03-23
3,24,290758.85,35771.72,03-24
3,25,289410.11,41468.59,03-25
3,26,289835.23,43778.95,03-26
3,27,289917.92,45113.18,03-27
3,28,288715.63,50185.94,03-28
3,29,289329.94,51386.19,03-29
3,30,288111.91,54622.83,03-30
3,31,287024.88,57269.22,03-31
4,1,282521.95,60438.68,04-01
4,2,281990.39,60178.05,04-02
4,3,281430.76,61632.71,04-03
4,4,281470.49,60125.37,04-04
4,5,282607.15,56653.53,04-05
4,6,282742.4,55576.46,04-06
4,7,281355.29,61380.17,04-07
4,8,286163.23,52626.84,04-08
4,9,283682.81,55553.61,04-09
4,10,285506.78,54157.57,04-10
4,11,285262.28,55103.62,04-11
4,12,283685.54,55680.17,04-12
4,13,281352.71,56631.24,04-13
4,14,279249.91,57668.03,04-14
4,15,276854.83,59069.55,04-15
4,16,274761.98,61889.37,04-16
4,17,272351.4,64599.48,04-17
4,18,272550.81,63998.32,04-18
4,19,272500.38,64734.95,04-19
4,20,272409.28,63573.34,04-20
4,21,271222.01,62218.47,04-21
4,22,269857.04,61682.54,04-22
4,23,267201.48,61594.99,04-23
